Pathway	background	upregulated_input	upregulated_FDR	FDR<0.05	background	downregulated_input	downregulated_FDR	FDR<0.05	
00450 Selenocompound metabolism [PATH:smu00450]	7	0	0.999999999969157		7	0	0.4316331079917112	
00480 Glutathione metabolism [PATH:smu00480]	5	0	0.999999999969157		5	0	0.42702566757418003	
00500 Starch and sucrose metabolism [PATH:smu00500]	32	6	0.999999999969157		32	0	0.7518784700570049	
00520 Amino sugar and nucleotide sugar metabolism [PATH:smu00520]	27	2	0.999999999969157		27	0	0.7102165547237759	
00521 Streptomycin biosynthesis [PATH:smu00521]	7	0	0.999999999969157		7	2	0.07564316498185061	
00550 Peptidoglycan biosynthesis [PATH:smu00550]	25	7	0.999999999969157		25	2	0.29439600021424406	
00561 Glycerolipid metabolism [PATH:smu00561]	11	2	0.999999999969157		11	0	0.47342899677002626	
00564 Glycerophospholipid metabolism [PATH:smu00564]	8	2	0.999999999969157		8	1	0.22614078220850212	
00620 Pyruvate metabolism [PATH:smu00620]	26	3	0.999999999969157		26	0	0.7031995656923902	
00630 Glyoxylate and dicarboxylate metabolism [PATH:smu00630]	10	0	0.999999999969157		10	0	0.4655007556373465	
00640 Propanoate metabolism [PATH:smu00640]	13	1	0.999999999969157		13	0	0.4832719654901423	
00650 Butanoate metabolism [PATH:smu00650]	12	1	0.999999999969157		12	1	0.29439600021424406	
00660 C5-Branched dibasic acid metabolism [PATH:smu00660]	7	1	0.999999999969157		7	1	0.22121402188868236	
00670 One carbon pool by folate [PATH:smu00670]	10	1	0.999999999969157		10	1	0.26922093225227456	
00680 Methane metabolism [PATH:smu00680]	13	1	0.999999999969157		13	0	0.4832719654901423	
00730 Thiamine metabolism [PATH:smu00730]	6	1	0.999999999969157		6	0	0.42702566757418003	
00760 Nicotinate and nicotinamide metabolism [PATH:smu00760]	8	4	0.4370050846738465		8	0	0.43343442884564987	
00770 Pantothenate and CoA biosynthesis [PATH:smu00770]	13	1	0.999999999969157		13	0	0.4832719654901423	
00790 Folate biosynthesis [PATH:smu00790]	11	6	0.3170656477918229		11	1	0.29439600021424406	
00900 Terpenoid backbone biosynthesis [PATH:smu00900]	9	1	0.999999999969157		9	1	0.24271230197548221	
00910 Nitrogen metabolism [PATH:smu00910]	7	2	0.999999999969157		7	0	0.4316331079917112	
00920 Sulfur metabolism [PATH:smu00920]	6	1	0.999999999969157		6	0	0.42702566757418003	
00970 Aminoacyl-tRNA biosynthesis [PATH:smu00970]	91	4	0.999999999969157		91	1	0.8978660892224447	
01001 Protein kinases [BR:smu01001]	8	3	0.7904832301987871		8	0	0.43343442884564987	
01002 Peptidases and inhibitors [BR:smu01002]	34	8	0.999999999969157		34	4	0.1658689933404858	
01003 Glycosyltransferases [BR:smu01003]	13	1	0.999999999969157		13	0	0.4832719654901423	
01004 Lipid biosynthesis proteins [BR:smu01004]	11	4	0.7904832301987871		11	0	0.47342899677002626	
01005 Lipopolysaccharide biosynthesis proteins [BR:smu01005]	8	0	0.999999999969157		8	1	0.22614078220850212	
01007 Amino acid related enzymes [BR:smu01007]	29	4	0.999999999969157		29	1	0.4655007556373465	
01011 Peptidoglycan biosynthesis and degradation proteins [BR:smu01011]	24	6	0.999999999969157		24	1	0.4316331079917112	
01501 beta-Lactam resistance [PATH:smu01501]	11	2	0.999999999969157		11	0	0.47342899677002626	
01502 Vancomycin resistance [PATH:smu01502]	6	3	0.47453125482487407		6	0	0.42702566757418003	
01503 Cationic antimicrobial peptide (CAMP) resistance [PATH:smu01503]	6	0	0.999999999969157		6	0	0.42702566757418003	
01504 Antimicrobial resistance genes [BR:smu01504]	5	1	0.999999999969157		5	0	0.42702566757418003	
02000 Transporters [BR:smu02000]	220	54	0.999999999969157		220	10	0.42702566757418003	
02010 ABC transporters [PATH:smu02010]	90	24	0.999999999969157		90	4	0.43228525948043345	
02020 Two-component system [PATH:smu02020]	44	11	0.999999999969157		44	1	0.5832318432927011	
02022 Two-component system [BR:smu02022]	13	5	0.7904832301987871		13	0	0.4832719654901423	
02024 Quorum sensing [PATH:smu02024]	51	8	0.999999999969157		51	3	0.39712107060808083	
02044 Secretion system [BR:smu02044]	21	3	0.999999999969157		21	6	0.0005863086312603403	*
02048 Prokaryotic defense system [BR:smu02048]	24	5	0.999999999969157		24	3	0.17437048401020336	
02060 Phosphotransferase system (PTS) [PATH:smu02060]	31	3	0.999999999969157		31	0	0.7482029355219235	
03000 Transcription factors [BR:smu03000]	32	5	0.999999999969157		32	2	0.39712107060808083	
03009 Ribosome biogenesis [BR:smu03009]	46	13	0.999999999969157		46	2	0.43228525948043345	
03010 Ribosome [PATH:smu03010]	68	16	0.999999999969157		68	0	0.940625500902286	
03011 Ribosome [BR:smu03011]	68	16	0.999999999969157		68	0	0.940625500902286	
03012 Translation factors [BR:smu03012]	14	7	0.3170656477918229		14	2	0.1856442722968202	
03016 Transfer RNA biogenesis [BR:smu03016]	55	14	0.999999999969157		55	3	0.42702566757418003	
03018 RNA degradation [PATH:smu03018]	10	1	0.999999999969157		10	0	0.4655007556373465	
03019 Messenger RNA biogenesis [BR:smu03019]	14	3	0.999999999969157		14	1	0.34218394066821056	
03020 RNA polymerase [PATH:smu03020]	5	3	0.3170656477918229		5	0	0.42702566757418003	
03021 Transcription machinery [BR:smu03021]	10	6	0.3170656477918229		10	0	0.4655007556373465	
03029 Mitochondrial biogenesis [BR:smu03029]	28	4	0.999999999969157		28	2	0.3346950043033222	
03030 DNA replication [PATH:smu03030]	14	3	0.999999999969157		14	1	0.34218394066821056	
03032 DNA replication proteins [BR:smu03032]	24	6	0.999999999969157		24	1	0.4316331079917112	
03036 Chromosome and associated proteins [BR:smu03036]	28	7	0.999999999969157		28	0	0.7164990550761219	
03060 Protein export [PATH:smu03060]	12	2	0.999999999969157		12	2	0.1658689933404858	
03070 Bacterial secretion system [PATH:smu03070]	9	2	0.999999999969157		9	1	0.24271230197548221	
03100 Non-coding RNAs [BR:smu03100]	80	0	0.999999999969157		80	0	0.9570322680845457	
03110 Chaperones and folding catalysts [BR:smu03110]	18	2	0.999999999969157		18	0	0.5832318432927011	
03400 DNA repair and recombination proteins [BR:smu03400]	63	14	0.999999999969157		63	3	0.4295874255282833	
03410 Base excision repair [PATH:smu03410]	10	2	0.999999999969157		10	0	0.4655007556373465	
03420 Nucleotide excision repair [PATH:smu03420]	7	0	0.999999999969157		7	1	0.22121402188868236	
03430 Mismatch repair [PATH:smu03430]	17	5	0.999999999969157		17	2	0.22121402188868236	
03440 Homologous recombination [PATH:smu03440]	19	4	0.999999999969157		19	1	0.42702566757418003	
04147 Exosome [BR:smu04147]	25	2	0.999999999969157		25	1	0.43228525948043345	
99976 Replication and repair	8	2	0.999999999969157		8	2	0.07850137012422065	
99977 Transport	5	1	0.999999999969157		5	0	0.42702566757418003	
99980 Enzymes with EC numbers	33	5	0.999999999969157		33	0	0.7550150252367656	
99996 General function prediction only	16	5	0.999999999969157		16	0	0.550169337954757	
99997 Function unknown	36	10	0.999999999969157		36	3	0.24271230197548221	
