Pathway	background	upregulated_input	upregulated_FDR	FDR<0.05	background	downregulated_input	downregulated_FDR	FDR<0.05	
03410 Base excision repair [PATH:smu03410]	10	5	0.7281268124530328		10	5	0.6283887850284169	
03420 Nucleotide excision repair [PATH:smu03420]	7	3	0.817479278238602		7	4	0.5363161487349279	
03430 Mismatch repair [PATH:smu03430]	17	10	0.6129910267088989		17	7	0.7924634495493676	
03440 Homologous recombination [PATH:smu03440]	19	10	0.6940612463347928		19	7	0.9014705965526386	
04147 Exosome [BR:smu04147]	25	15	0.5425261238488213		25	8	1.0	
99976 Replication and repair	8	3	0.8836754872464554		8	5	0.42820040670161735	
99977 Transport	5	5	0.0	*	5	0	1.0	
99980 Enzymes with EC numbers	33	18	0.6541374707479163		33	13	0.9014705965526386	
99996 General function prediction only	16	8	0.7479170799129173		16	8	0.6283887850284169	
99997 Function unknown	36	14	0.999999999998302		36	22	0.1090684634864102	
